month,denominator,numerator_cpu,numerator_impl,numerator_reversal
2008-01,34864,15279,10907,6129
2008-02,37987,18444,14074,8053
2008-03,37645,17281,12536,7351
2008-04,41919,19349,14268,8168
2008-05,41383,19412,14821,8146
2008-06,40724,17522,12438,6773
2008-07,43768,20740,15208,8829
2008-08,35355,16878,12640,7511
2008-09,39148,17685,12295,6817
2008-10,42454,19940,14309,8203
2008-11,40250,18595,13472,7574
2008-12,35220,14906,10587,5857
2009-01,39569,17019,11906,7231
2009-02,42578,19438,14343,8509
2009-03,49401,21760,15600,8924
2009-04,48295,20472,14881,8253
2009-05,48113,20865,15352,8981
2009-06,47687,19610,14099,7575
2009-07,50250,21649,15909,9778
2009-08,43142,18240,13252,7350
2009-09,49835,20175,14191,7892
2009-10,54502,22588,16199,9280
2009-11,53609,23352,17110,9832
2009-12,53565,21365,14794,8043
2010-01,51384,22782,16940,10545
2010-02,49308,21904,16331,9096
2010-03,56659,24103,17866,10297
2010-04,54418,22624,16133,9186
2010-05,55836,24629,17901,10091
2010-06,53424,22495,15948,9079
2010-07,51724,21809,15903,8841
2010-08,47085,20696,15329,8301
2010-09,49879,20768,14696,8092
2010-10,49599,20954,15156,8213
2010-11,48957,21366,15429,8369
2010-12,44713,18408,13166,7405
2011-01,47098,19545,13552,8392
2011-02,48025,21098,15529,9025
2011-03,58088,25998,18418,11066
2011-04,51861,21444,15442,9047
2011-05,57273,26257,18761,11099
2011-06,55956,24238,17266,9666
2011-07,52943,23376,16578,9236
2011-08,53637,24825,18113,9772
2011-09,56498,25031,18010,9762
2011-10,55562,25159,18134,10366
2011-11,57046,26290,19207,10123
2011-12,50740,21953,15514,8412
2012-01,48117,20276,14627,8133
2012-02,55470,24724,18240,10161
2012-03,60388,25962,18540,10547
2012-04,54607,23009,16315,8929
2012-05,59369,25688,18381,9955
2012-06,56981,23978,16865,9228
2012-07,56447,24559,17526,9788
2012-08,55170,23527,16718,9599
2012-09,53047,22484,15703,8840
2012-10,60238,26461,18595,10419
2012-11,60777,26950,19483,10933
2012-12,50920,20785,14426,8545
2013-01,57828,24279,17278,9689
2013-02,58352,25566,18653,10909
2013-03,60240,25522,18302,10465
2013-04,62352,27564,19849,12242
2013-05,62146,26941,19283,11276
2013-06,59681,24946,17437,9879
2013-07,60310,25193,18265,10546
2013-08,56001,23424,16903,9771
2013-09,61956,25575,17992,10386
2013-10,64064,27511,19853,11174
2013-11,63894,27488,19992,11155
2013-12,57519,23668,16910,9531
2014-01,61254,24326,17307,10137
2014-02,60740,26348,18856,10666
2014-03,63042,27135,19466,10520
2014-04,61574,26023,18670,10582
2014-05,60965,26889,19377,11046
2014-06,64887,26260,18403,10405
2014-07,62508,26307,18571,11100
2014-08,54931,23137,16439,9813
2014-09,61259,25590,17673,9757
2014-10,62926,26555,19028,10401
2014-11,62338,26547,18713,10685
2014-12,65423,28353,19404,10931
2015-01,58073,24719,17371,10009
2015-02,56738,25135,18153,10358
2015-03,66425,27757,19765,10948
2015-04,64008,26857,19093,10586
2015-05,60883,26188,18719,10482
2015-06,64063,26522,18808,10492
2015-07,61453,25932,18863,10733
2015-08,56454,23654,17094,9546
2015-09,65671,27080,18855,10072
2015-10,75867,32056,22450,13102
2015-11,75868,32720,23320,14337
2015-12,74104,29912,20847,12441
2016-01,67236,28412,19387,11237
2016-02,68607,29521,21544,12145
2016-03,70576,30270,21420,12446
2016-04,69315,29790,21135,11587
2016-05,69127,30188,21537,11596
2016-06,71757,31044,21766,13469
2016-07,67140,29641,20826,12901
2016-08,62193,26712,19570,10726
2016-09,69539,30084,21398,11409
2016-10,68910,30211,21415,11905
2016-11,73648,33287,23183,14082
2016-12,61920,26670,18853,11720
2017-01,70687,31593,21971,13211
2017-02,66298,29845,21658,12790
2017-03,73845,32412,23554,13778
2017-04,68081,29455,21716,12840
2017-05,76643,34512,25859,14968
2017-06,77661,32866,23125,14789
2017-07,69482,30799,22436,13079
2017-08,67935,30167,22538,12826
2017-09,77643,34465,24390,13947
2017-10,79220,35300,25642,14765
2017-11,76532,34618,25686,14315
2017-12,65944,28245,20670,11598
2018-01,72402,32324,23720,13117
2018-02,72216,32167,24151,13712
2018-03,75829,33980,25039,13469
2018-04,77666,35427,25891,13019
2018-05,84805,39470,29684,15908
2018-06,74870,32598,23532,12123
2018-07,70999,32039,23914,12889
2018-08,75915,34392,25578,13200
2018-09,72496,31544,22274,11680
2018-10,84066,36794,26264,13681
2018-11,80852,35874,26068,13619
2018-12,70366,30631,22085,11461
2019-01,79067,36090,27071,14482
2019-02,81700,35973,26333,14433
2019-03,89186,39169,28232,15876
2019-04,87175,37876,27050,14563
2019-05,93189,41766,29716,15891
2019-06,84256,36754,25147,13997
2019-07,87897,36798,26301,13538
2019-08,84195,36131,26071,14444
2019-09,94162,40073,28140,15343
2019-10,99592,42593,30449,16384
2019-11,104574,46061,33931,16157
2019-12,88287,36576,26171,14228
2020-01,100798,45340,33650,17386
2020-02,100032,43997,32651,17939
2020-03,81487,38500,29817,15191
2020-04,72016,35394,27137,14283
2020-05,80884,40930,32008,16342
2020-06,93758,43277,33023,18298
2020-07,99374,45079,34683,18295
2020-08,92227,43488,33656,17591
2020-09,103017,46605,34145,17036
2020-10,111368,51449,38286,19150
2020-11,109488,51240,37987,19522
2020-12,98854,41422,30501,15010
2021-01,103655,44362,33083,17919
2021-02,116492,52809,41381,19257
2021-03,138473,62212,48357,21954
2021-04,125672,53346,40135,20532
2021-05,121013,54364,41603,20117
2021-06,130308,56790,42898,19128
2021-07,118778,51715,39302,18033
2021-08,118067,51468,39042,19319
2021-09,131206,55064,39516,19372
2021-10,143360,60510,44135,20663
2021-11,149157,62978,45960,22134
2021-12,121544,51051,37847,18332
2022-01,112663,49605,37118,18442
2022-02,125922,55763,42410,20708
2022-03,143787,62259,45506,22753
2022-04,130500,56809,41589,20187
2022-05,146411,67757,49566,23783
2022-06,138409,57823,40818,19489
2022-07,134230,57887,41521,20709
2022-08,151465,66597,48235,22865
2022-09,160074,62239,44398,20056
2022-10,159896,63731,44796,21025
2022-11,168078,73860,53336,24320
2022-12,141381,57100,40604,18730
2023-01,147484,59468,43119,19509
2023-02,150950,69819,51282,23364
2023-03,183219,86164,65543,25776
2023-04,156226,69964,53208,20612
2023-05,165747,76182,56989,24914
2023-06,161732,69353,51412,20879
2023-07,162265,75393,59000,21352
2023-08,171123,84080,67749,23205
2023-09,167035,72732,54038,21644
2023-10,173307,77149,58197,24991
2023-11,173952,78977,60007,26124
2023-12,151596,61865,45293,20461
2024-01,143327,61760,46503,22106
2024-02,153031,66236,50500,23225
2024-03,156926,65377,49275,22201
2024-04,159344,67526,50008,22450
2024-05,173070,73801,55615,25123
2024-06,159658,64993,46561,21726
2024-07,169801,69783,51346,25502
2024-08,155493,66474,50669,24144
2024-09,163094,64673,46665,22672
2024-10,177294,74380,54396,26135
2024-11,180031,76763,55288,27747
2024-12,142988,59866,43614,20258
2025-01,168891,73829,54621,29145
2025-02,153167,69504,52190,26700
2025-03,167687,75130,55310,28928
2025-04,166847,79000,58293,30224
2025-05,179308,83923,62833,31918
